,genre
828,javanese dangdut
829,lagu jawa
830,moroccan pop
831,trap tuga
832,r&b en espanol
833,riddim
834,halifax indie
835,future house
836,rogaland musikk
837,arkansas hip hop
838,rap df
839,levenslied
840,bossa nova
841,irish rebel song
842,spanish hip hop
843,batida
844,funana
845,rap angolano
846,german indie
847,spanish rock
848,rai
849,rap kreyol
850,french reggae
851,funk melody
852,rap canario
853,deep tech house
854,xinyao
855,cueca chilena
856,folklore chileno
857,classic danish pop
858,instrumental grime
859,german boom bap
860,emo
861,pop quebecois
862,funk rock
863,blues rock
864,detroit rock
865,modern blues rock
866,punk blues
867,turkish punk
868,argentine hip hop
869,trap argentino
870,trap triste
871,cumbia 420
872,rap antillais
873,afrofuturismo brasileiro
874,brazilian reggae
875,cartoon
876,pony
877,talentkonkurranse
878,smooth soul
879,pagode novo
880,rap catala
881,trap catala
882,bow pop
883,cello
884,finnish metal
885,symphonic metal
886,indonesian folk pop
887,nz reggae
888,pacific islands pop
889,g-house
890,cuban alternative
891,kingston on indie
892,ontario indie
893,dangdut remix
894,slowed and reverb
895,drill
896,alabama rap
897,disco
898,new wave
899,new wave pop
900,synthpop
901,grupera
902,disney espanol
903,gen z singer-songwriter
904,lds youth
905,australian alternative pop
906,classic uk pop
907,rock-and-roll
908,rockabilly
909,greenlandic pop
910,rock alternativo espanol
911,spanish indie pop
912,finnish punk
913,israeli pop
914,dutch americana
915,nordic orchestra
916,orchestra
917,radio symphony
918,salsa puertorriquena
919,polish alternative rock
920,neo-synthpop
921,baton rouge rap
922,celtic
923,celtic punk
924,folk punk
925,irish folk
926,punk
927,ghanaian pop
928,bubblegum dance
929,junior eurovision
930,adult standards
931,jazz pop
932,lounge
933,sophisti-pop
934,latin talent show
935,rap maroc
936,norske viser
937,operatic pop
938,brill building pop
939,easy listening
940,vocal jazz
941,american folk revival
942,christmas instrumental
943,jazz trio
944,light music
945,post-romantic era
946,ukrainian classical
947,deep adult standards
948,vocal harmony group
949,folk rock
950,experimental rock
951,experimental
952,experimental pop
953,dansktop
954,rumba congolaise
955,indie rock italiano
956,barnemusikk
957,swedish jazz
958,lund indie
959,azeri rap
960,ulkucu sarkilar
961,lilith
962,torch song
963,canadian country
964,oklahoma country
965,country rock
966,hi-nrg
967,bubblegum pop
968,swing
969,desert blues
970,kora
971,mande pop
972,children's music
973,kindermusik
974,classic danish rock
975,danish singer-songwriter
976,norwegian jazz
977,children's choir
978,finnish choir
979,muziek voor kinderen
980,christmas product
981,oslo indie
982,portuguese rock
983,punk tuga
984,classical tenor
985,italian tenor
986,ectofolk
987,chanson
988,ye ye
989,rap underground espanol
990,rap portuense
991,rap tuga underground
992,sleep
993,baglama
994,roots rock
995,chilean hardcore
996,classic finnish rock
997,musiikkia lapsille
998,classic polish pop
999,acoustic cover
1000,classic girl group
1001,psychedelic rock
1002,sunshine pop
1003,cowboy western
1004,traditional country
1005,yodeling
1006,progressive rock
1007,contemporary vocal jazz
1008,new age
1009,doo-wop
1010,rhythm and blues
1011,beach music
1012,big band
1013,chill pop
1014,scottish singer-songwriter
1015,piano blues
1016,detske pisnicky
1017,australian alternative rock
1018,australian rock
1019,arkansas country
1020,outlaw country
1021,soul blues
1022,athens indie
1023,folk
1024,classic country pop
1025,novelty
1026,idol
1027,cancion infantil latinoamericana
1028,musica para ninos
1029,villancicos
1030,teen pop
1031,finnish heavy metal
1032,finnish idol pop
1033,finnish power metal
1034,vintage chanson
1035,dixieland
1036,harlem renaissance
1037,jazz trumpet
1038,new orleans jazz
1039,bebop
1040,cool jazz
1041,hard bop
1042,jazz
1043,jazz saxophone
1044,library music
1045,soul jazz
1046,stride
1047,classic soundtrack
1048,french jazz
1049,french soundtrack
1050,country quebecois
1051,italian jazz
1052,italian lounge
1053,chicago soul
1054,christelijk
1055,gospel singers
1056,norsk lovsang
1057,norwegian gospel
1058,nordnorsk musikk
1059,gospel
1060,spirituals
1061,classic opm
1062,papuri
1063,pinoy praise
1064,tagalog worship
1065,poezja spiewana
1066,polish blues
1067,polish rock
1068,polish contemporary classical
1069,uwielbienie
1070,avant-garde jazz
1071,contemporary jazz
1072,contemporary post-bop
1073,jazz fusion
1074,jazz guitar
1075,polish synthpop
1076,goralski
1077,polish folk
1078,musica infantil
1079,musica para criancas
1080,nashville sound
1081,brazilian jazz
1082,samba
1083,violao
1084,deep soft rock
1085,smooth jazz
1086,c86
1087,acoustic chill
1088,glee club
1089,musica cabo-verdiana
1090,broadway
1091,deep talent show
1092,jazz funk
1093,balkan hip hop
1094,turbo folk
1095,harlem hip hop
1096,rock keyboard
1097,dansk comedy
1098,acid house
1099,deep big room
1100,french synthpop
1101,brisbane indie
1102,kiwi rock
1103,nz singer-songwriter
1104,uk reggae
1105,southern rock
1106,swamp rock
1107,disco polo
1108,british invasion
1109,merseybeat
1110,diva house
1111,variete francaise
1112,hard bass
1113,turkce kadin rap
1114,pop electronico
1115,tropical alternativo
1116,swedish americana
1117,australian garage punk
1118,australian indie rock
1119,australian underground hip hop
1120,hiplife
1121,york indie
1122,pinoy trap
1123,schweizer rap
1124,swiss reggae
1125,bayerischer rap
1126,classic indonesian rock
1127,indonesian rock
1128,pinoy alternative rap
1129,traprun
1130,groove room
1131,spiritual hip hop
1132,sacramento hip hop
1133,south african alternative
1134,indie hip hop
1135,german r&b
1136,karneval
1137,kolsche karneval
1138,italian ska
1139,firenze indie
1140,dancehall guyanaise
