,id,uri,title,name,popularity,genres
7424,6Kiq09dTSayFFqAVYUiS9o,https://open.spotify.com/artist/6Kiq09dTSayFFqAVYUiS9o,Pudding-TV,Pudding-TV,47,barnemusikk
7425,4gqPenZXmxCQR1hGUNvvQE,https://open.spotify.com/artist/4gqPenZXmxCQR1hGUNvvQE,Trad.,Trad.,25,
7426,5kocU0vlHHmjVMJ4lQiBK1,https://open.spotify.com/artist/5kocU0vlHHmjVMJ4lQiBK1,Johannes Hanssen,Johannes Hanssen,11,norwegian classical
7427,4wWZBOrwM5pN96sDoiwBj1,https://open.spotify.com/artist/4wWZBOrwM5pN96sDoiwBj1,For Norge Kjæmpers Fødeland,For Norge Kjæmpers Fødeland,3,
7428,1ofCqVykGobhrQ1Kj9vzSu,https://open.spotify.com/artist/1ofCqVykGobhrQ1Kj9vzSu,Henrik Wergeland,Henrik Wergeland,6,
7429,3xoBujDX2nT7UkO85fmzSb,https://open.spotify.com/artist/3xoBujDX2nT7UkO85fmzSb,Christoph Ernst Friedrich Weyse,Christoph Ernst Friedrich Weyse,15,"classical era,danish classical,early romantic era"
7430,27RxkAdGThrZ2VisW6a1mN,https://open.spotify.com/artist/27RxkAdGThrZ2VisW6a1mN,Elias Blix,Elias Blix,12,
7431,5ItIH58Osk3cVIEblVgo88,https://open.spotify.com/artist/5ItIH58Osk3cVIEblVgo88,Richard Nordraak,Richard Nordraak,8,
7432,2auikkNYqigWStoHWK1Grq,https://open.spotify.com/artist/2auikkNYqigWStoHWK1Grq,John Martin,John Martin,70,pop edm
7433,3rLcNyZbI0AoRKmP7fWtIR,https://open.spotify.com/artist/3rLcNyZbI0AoRKmP7fWtIR,Ludvig Mathias Lindeman,Ludvig Mathias Lindeman,7,norwegian classical
7434,5afl1S86M0Cr8PWsdSS97W,https://open.spotify.com/artist/5afl1S86M0Cr8PWsdSS97W,Ivar Aasen,Ivar Aasen,6,
7435,5vZzmv0JkX7k4Cqwz5gdyQ,https://open.spotify.com/artist/5vZzmv0JkX7k4Cqwz5gdyQ,Henry Caery,Henry Caery,2,
7436,7JNyuuD26v3VdReED15CnS,https://open.spotify.com/artist/7JNyuuD26v3VdReED15CnS,N. Fogtman,N. Fogtman,2,
7437,3OG8SN3zv2kDeL5lMzXhB3,https://open.spotify.com/artist/3OG8SN3zv2kDeL5lMzXhB3,Musikkaptein Ivar Andresen,Musikkaptein Ivar Andresen,9,
7438,09qHO1fFJ6iIeTuCjO7Bfa,https://open.spotify.com/artist/09qHO1fFJ6iIeTuCjO7Bfa,Roc Boyz,Roc Boyz,52,"norwegian pop rap,russelater"
7439,2hawR5SIPj1qZdlrE6PBf1,https://open.spotify.com/artist/2hawR5SIPj1qZdlrE6PBf1,Oscar Borg,Oscar Borg,10,
7440,2gm2VpK4LhYZrUsqRUIT3l,https://open.spotify.com/artist/2gm2VpK4LhYZrUsqRUIT3l,Camilla Trøen,Camilla Trøen,44,barnemusikk
7441,56mfhUDKa1vec6rSLZV5Eg,https://open.spotify.com/artist/56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,Jawsh 685,71,nz pop
7442,1NxTfbylQiyMQ8yOFxG3x2,https://open.spotify.com/artist/1NxTfbylQiyMQ8yOFxG3x2,Dstance,Dstance,53,
7443,27CDb3SwK4OdTI0YrGR9vH,https://open.spotify.com/artist/27CDb3SwK4OdTI0YrGR9vH,Tanya Manalang,Tanya Manalang,35,
7444,1bzHq5sIBbCERJKbzj3P3I,https://open.spotify.com/artist/1bzHq5sIBbCERJKbzj3P3I,Reb Atadero,Reb Atadero,36,
7445,3NyLd7TMJzuOzLL19ZtbOJ,https://open.spotify.com/artist/3NyLd7TMJzuOzLL19ZtbOJ,Topper Fabregas,Topper Fabregas,36,
7446,4cdQigfvaU3fi3mj9I7iHI,https://open.spotify.com/artist/4cdQigfvaU3fi3mj9I7iHI,Boo Gabunada,Boo Gabunada,36,
7447,76BiSFOr2qBMR7TtLxOG5o,https://open.spotify.com/artist/76BiSFOr2qBMR7TtLxOG5o,Gian Magdangal,Gian Magdangal,30,
7448,2upiPAdo6THtRqkDCvS0nO,https://open.spotify.com/artist/2upiPAdo6THtRqkDCvS0nO,OJ Mariano,OJ Mariano,31,
7449,7jZKwzpcDkktOdtOaP1M2W,https://open.spotify.com/artist/7jZKwzpcDkktOdtOaP1M2W,Jon Santos,Jon Santos,28,
7450,66ZITIUoSb77XabgRaNOvp,https://open.spotify.com/artist/66ZITIUoSb77XabgRaNOvp,Sheila Francisco,Sheila Francisco,27,
7451,7BHnMTmCwSJIVEUZ74mQxD,https://open.spotify.com/artist/7BHnMTmCwSJIVEUZ74mQxD,Martina Paz,Martina Paz,22,
7452,7hz8pmORoxzGefcrAFQRfp,https://open.spotify.com/artist/7hz8pmORoxzGefcrAFQRfp,Menchu Lauchengco-Yulo,Menchu Lauchengco-Yulo,24,
7453,6zMAnfrMg3Wg0BcgoPUbG7,https://open.spotify.com/artist/6zMAnfrMg3Wg0BcgoPUbG7,Ensemble,Ensemble,43,
7454,17U1GTgGmsHnAl5UzvQKhy,https://open.spotify.com/artist/17U1GTgGmsHnAl5UzvQKhy,Dianz,Dianz,35,
